Date : 2026-02-01 05:08:50
Directory : /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app
Total : 108 files,  19190 codes, 958 comments, 1766 blanks, all 21914 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         73 |     15,091 |        847 |      1,340 |     17,278 |
| TypeScript     |         32 |      3,333 |        105 |        396 |      3,834 |
| JSON           |          2 |        652 |          0 |          3 |        655 |
| CSS            |          1 |        114 |          6 |         27 |        147 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        108 |     19,190 |        958 |      1,766 |     21,914 |
| . (Files)                                                                                                        |          3 |        270 |         16 |         48 |        334 |
| components                                                                                                       |         54 |      9,809 |        458 |        841 |     11,108 |
| components/cards                                                                                                 |          6 |        706 |         18 |         57 |        781 |
| components/chat                                                                                                  |          3 |        848 |         45 |         88 |        981 |
| components/dialogs                                                                                               |         19 |      4,918 |        202 |        423 |      5,543 |
| components/features                                                                                              |          5 |        292 |         17 |         26 |        335 |
| components/features/home                                                                                         |          5 |        292 |         17 |         26 |        335 |
| components/forms                                                                                                 |          5 |        903 |         34 |         78 |      1,015 |
| components/layout                                                                                                |          3 |        693 |         28 |         29 |        750 |
| components/popovers                                                                                              |          5 |        879 |        105 |         85 |      1,069 |
| components/sections                                                                                              |          8 |        570 |          9 |         55 |        634 |
| data                                                                                                             |          1 |        398 |          2 |          5 |        405 |
| hooks                                                                                                            |          4 |        598 |         30 |         95 |        723 |
| i18n                                                                                                             |          3 |        681 |          1 |         10 |        692 |
| i18n (Files)                                                                                                     |          1 |         29 |          1 |          7 |         37 |
| i18n/locales                                                                                                     |          2 |        652 |          0 |          3 |        655 |
| pages                                                                                                            |         18 |      5,147 |        379 |        480 |      6,006 |
| services                                                                                                         |         23 |      2,187 |         69 |        277 |      2,533 |
| store                                                                                                            |          1 |         84 |          0 |          6 |         90 |
| utils                                                                                                            |          1 |         16 |          3 |          4 |         23 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                         | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/app.css                                          | CSS            |        114 |          6 |         27 |        147 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/cards/ActionCard.tsx                  | TypeScript JSX |        182 |          6 |          9 |        197 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/cards/AnnounceCard.tsx                | TypeScript JSX |        208 |         10 |         17 |        235 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/cards/ProfileTravelCard.tsx           | TypeScript JSX |         83 |          0 |          5 |         88 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/cards/ReservationCard.tsx             | TypeScript JSX |         66 |          0 |         11 |         77 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/cards/TravelCard.tsx                  | TypeScript JSX |        107 |          1 |          7 |        115 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/cards/VideoCard.tsx                   | TypeScript JSX |         60 |          1 |          8 |         69 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/chat/Chat.tsx                         | TypeScript JSX |        393 |         19 |         42 |        454 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/chat/ChatWidget.tsx                   | TypeScript JSX |        237 |          6 |         21 |        264 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/chat/ConversationList.tsx             | TypeScript JSX |        218 |         20 |         25 |        263 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/AlertDialog.tsx               | TypeScript JSX |         97 |          7 |         13 |        117 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/AnnounceTypeDialog.tsx        | TypeScript JSX |         98 |          3 |         14 |        115 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/BookingDialog.tsx             | TypeScript JSX |        209 |         11 |         25 |        245 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/ConfirmCancelDialog.tsx       | TypeScript JSX |         89 |          6 |         11 |        106 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/CookieConsent.tsx             | TypeScript JSX |         67 |          0 |         10 |         77 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/CreateAlertDialog.tsx         | TypeScript JSX |        222 |         13 |         22 |        257 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/CreateAnnounceDialog.tsx      | TypeScript JSX |        797 |         28 |         49 |        874 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/CreatePackageDialog.tsx       | TypeScript JSX |        551 |         15 |         45 |        611 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/EditAnnounceDialog.tsx        | TypeScript JSX |        528 |         19 |         43 |        590 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/EditPackageDialog.tsx         | TypeScript JSX |        340 |         15 |         33 |        388 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/LoginDialog.tsx               | TypeScript JSX |        187 |          5 |         16 |        208 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/MessageDialog.tsx             | TypeScript JSX |        142 |          9 |         17 |        168 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/NotificationModal.tsx         | TypeScript JSX |          0 |          1 |          0 |          1 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/ProfileDialog.tsx             | TypeScript JSX |        521 |         23 |         37 |        581 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/RegisterDialog.tsx            | TypeScript JSX |        432 |         11 |         29 |        472 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/ReviewDialog.tsx              | TypeScript JSX |        113 |          6 |         13 |        132 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/ShareDialog.tsx               | TypeScript JSX |        226 |          6 |         10 |        242 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/SuccessViewProps.tsx          | TypeScript JSX |        110 |         10 |         15 |        135 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/dialogs/SupportDialog.tsx             | TypeScript JSX |        189 |         14 |         21 |        224 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/features/home/FeaturesSection.tsx     | TypeScript JSX |         66 |          5 |          8 |         79 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/features/home/HeroSection.tsx         | TypeScript JSX |         84 |          2 |          6 |         92 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/features/home/LatestAnnounces.tsx     | TypeScript JSX |          0 |          0 |          1 |          1 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/features/home/ReviewCard.tsx          | TypeScript JSX |         29 |          7 |          4 |         40 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/features/home/Reviews.tsx             | TypeScript JSX |        113 |          3 |          7 |        123 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/forms/AirlineComboBox.tsx             | TypeScript JSX |        197 |          6 |         12 |        215 |
| /home/ngdream/Documents/GitHub/gohappygo/gohappygo_frontend/app/components/forms/AirportComboBox.tsx             | TypeScript JSX |        159 |          7 |         15 |        181 |
